Date,Week,Month,Year,Commodity,Lock,Tons
07/18/2020,29,7,2020,Corn,Ohio Olmsted,35750
07/18/2020,29,7,2020,Other Grain,Ohio Olmsted,0
07/18/2020,29,7,2020,Soybeans,Ohio Olmsted,39500
07/18/2020,29,7,2020,Wheat,Ohio Olmsted,15720
07/25/2020,30,7,2020,Corn,Ark Lock 1,1400
07/25/2020,30,7,2020,Other Grain,Ark Lock 1,0
07/25/2020,30,7,2020,Soybeans,Ark Lock 1,9800
07/25/2020,30,7,2020,Wheat,Ark Lock 1,15400
07/25/2020,30,7,2020,Corn,Miss Locks 27,404080
07/25/2020,30,7,2020,Other Grain,Miss Locks 27,0
07/25/2020,30,7,2020,Soybeans,Miss Locks 27,315260
07/25/2020,30,7,2020,Wheat,Miss Locks 27,1600
07/25/2020,30,7,2020,Corn,Ohio Olmsted,24500
07/25/2020,30,7,2020,Other Grain,Ohio Olmsted,0
07/25/2020,30,7,2020,Soybeans,Ohio Olmsted,50349
07/25/2020,30,7,2020,Wheat,Ohio Olmsted,16254
08/29/2020,35,8,2020,Corn,Ark Lock 1,0
08/29/2020,35,8,2020,Other Grain,Ark Lock 1,0
08/29/2020,35,8,2020,Soybeans,Ark Lock 1,21000
08/29/2020,35,8,2020,Wheat,Ark Lock 1,15400
08/29/2020,35,8,2020,Corn,Miss Locks 27,252500
08/29/2020,35,8,2020,Other Grain,Miss Locks 27,0
08/29/2020,35,8,2020,Soybeans,Miss Locks 27,365540
08/29/2020,35,8,2020,Wheat,Miss Locks 27,7900
08/29/2020,35,8,2020,Corn,Ohio Olmsted,32300
08/29/2020,35,8,2020,Other Grain,Ohio Olmsted,0
08/29/2020,35,8,2020,Soybeans,Ohio Olmsted,56500
08/29/2020,35,8,2020,Wheat,Ohio Olmsted,8600
09/05/2020,36,9,2020,Corn,Ark Lock 1,0
09/05/2020,36,9,2020,Other Grain,Ark Lock 1,0
09/05/2020,36,9,2020,Soybeans,Ark Lock 1,22700
09/05/2020,36,9,2020,Wheat,Ark Lock 1,16200
09/05/2020,36,9,2020,Corn,Miss Locks 27,232700
09/05/2020,36,9,2020,Other Grain,Miss Locks 27,9600
09/05/2020,36,9,2020,Soybeans,Miss Locks 27,411582
09/05/2020,36,9,2020,Wheat,Miss Locks 27,1600
09/05/2020,36,9,2020,Corn,Ohio Olmsted,42500
09/05/2020,36,9,2020,Other Grain,Ohio Olmsted,0
09/05/2020,36,9,2020,Soybeans,Ohio Olmsted,55150
09/05/2020,36,9,2020,Wheat,Ohio Olmsted,7150
09/12/2020,37,9,2020,Corn,Ark Lock 1,0
09/12/2020,37,9,2020,Other Grain,Ark Lock 1,0
09/12/2020,37,9,2020,Soybeans,Ark Lock 1,16800
09/12/2020,37,9,2020,Wheat,Ark Lock 1,28000
09/12/2020,37,9,2020,Corn,Miss Locks 27,237600
09/12/2020,37,9,2020,Other Grain,Miss Locks 27,0
09/12/2020,37,9,2020,Soybeans,Miss Locks 27,441740
09/12/2020,37,9,2020,Wheat,Miss Locks 27,22400
09/12/2020,37,9,2020,Corn,Ohio Olmsted,10650
09/12/2020,37,9,2020,Other Grain,Ohio Olmsted,0
09/12/2020,37,9,2020,Soybeans,Ohio Olmsted,44600
09/12/2020,37,9,2020,Wheat,Ohio Olmsted,1850
09/19/2020,38,9,2020,Corn,Ark Lock 1,0
09/19/2020,38,9,2020,Other Grain,Ark Lock 1,0
09/19/2020,38,9,2020,Soybeans,Ark Lock 1,11200
09/19/2020,38,9,2020,Wheat,Ark Lock 1,23800
09/19/2020,38,9,2020,Corn,Miss Locks 27,168800
09/19/2020,38,9,2020,Other Grain,Miss Locks 27,0
09/19/2020,38,9,2020,Soybeans,Miss Locks 27,195500
09/19/2020,38,9,2020,Wheat,Miss Locks 27,6100
09/19/2020,38,9,2020,Corn,Ohio Olmsted,54204
09/19/2020,38,9,2020,Other Grain,Ohio Olmsted,0
09/19/2020,38,9,2020,Soybeans,Ohio Olmsted,39320
09/19/2020,38,9,2020,Wheat,Ohio Olmsted,5200
08/01/2020,31,7,2020,Corn,Ark Lock 1,2800
08/01/2020,31,7,2020,Other Grain,Ark Lock 1,0
08/01/2020,31,7,2020,Soybeans,Ark Lock 1,15400
08/01/2020,31,7,2020,Wheat,Ark Lock 1,28000
08/01/2020,31,7,2020,Corn,Miss Locks 27,409300
08/01/2020,31,7,2020,Other Grain,Miss Locks 27,0
08/01/2020,31,7,2020,Soybeans,Miss Locks 27,277200
08/01/2020,31,7,2020,Wheat,Miss Locks 27,7900
08/01/2020,31,7,2020,Corn,Ohio Olmsted,53200
08/01/2020,31,7,2020,Other Grain,Ohio Olmsted,0
08/01/2020,31,7,2020,Soybeans,Ohio Olmsted,69900
08/01/2020,31,7,2020,Wheat,Ohio Olmsted,26350
08/08/2020,32,8,2020,Corn,Ark Lock 1,4200
08/08/2020,32,8,2020,Other Grain,Ark Lock 1,0
08/08/2020,32,8,2020,Soybeans,Ark Lock 1,15000
08/08/2020,32,8,2020,Wheat,Ark Lock 1,16800
08/08/2020,32,8,2020,Corn,Miss Locks 27,231100
08/08/2020,32,8,2020,Other Grain,Miss Locks 27,0
08/08/2020,32,8,2020,Soybeans,Miss Locks 27,250800
08/08/2020,32,8,2020,Wheat,Miss Locks 27,0
08/08/2020,32,8,2020,Corn,Ohio Olmsted,22568
08/08/2020,32,8,2020,Other Grain,Ohio Olmsted,5400
08/08/2020,32,8,2020,Soybeans,Ohio Olmsted,50450
08/08/2020,32,8,2020,Wheat,Ohio Olmsted,29750
08/15/2020,33,8,2020,Corn,Ark Lock 1,0
08/15/2020,33,8,2020,Other Grain,Ark Lock 1,0
08/15/2020,33,8,2020,Soybeans,Ark Lock 1,19600
08/15/2020,33,8,2020,Wheat,Ark Lock 1,32200
08/15/2020,33,8,2020,Corn,Miss Locks 27,316620
08/15/2020,33,8,2020,Other Grain,Miss Locks 27,4500
08/15/2020,33,8,2020,Soybeans,Miss Locks 27,371000
08/15/2020,33,8,2020,Wheat,Miss Locks 27,27000
08/15/2020,33,8,2020,Corn,Ohio Olmsted,35640
08/15/2020,33,8,2020,Other Grain,Ohio Olmsted,0
08/15/2020,33,8,2020,Soybeans,Ohio Olmsted,86950
08/15/2020,33,8,2020,Wheat,Ohio Olmsted,28300
08/22/2020,34,8,2020,Corn,Ark Lock 1,0
08/22/2020,34,8,2020,Other Grain,Ark Lock 1,0
08/22/2020,34,8,2020,Soybeans,Ark Lock 1,14000
08/22/2020,34,8,2020,Wheat,Ark Lock 1,15400
08/22/2020,34,8,2020,Corn,Miss Locks 27,362944
08/22/2020,34,8,2020,Other Grain,Miss Locks 27,0
08/22/2020,34,8,2020,Soybeans,Miss Locks 27,450000
08/22/2020,34,8,2020,Wheat,Miss Locks 27,6100
08/22/2020,34,8,2020,Corn,Ohio Olmsted,18000
08/22/2020,34,8,2020,Other Grain,Ohio Olmsted,0
08/22/2020,34,8,2020,Soybeans,Ohio Olmsted,47800
08/22/2020,34,8,2020,Wheat,Ohio Olmsted,7400
09/26/2020,39,9,2020,Corn,Ark Lock 1,0
09/26/2020,39,9,2020,Other Grain,Ark Lock 1,0
09/26/2020,39,9,2020,Soybeans,Ark Lock 1,8400
09/26/2020,39,9,2020,Wheat,Ark Lock 1,5600
09/26/2020,39,9,2020,Corn,Miss Locks 27,126100
09/26/2020,39,9,2020,Other Grain,Miss Locks 27,3200
09/26/2020,39,9,2020,Soybeans,Miss Locks 27,153000
09/26/2020,39,9,2020,Wheat,Miss Locks 27,1600
09/26/2020,39,9,2020,Corn,Ohio Olmsted,88350
09/26/2020,39,9,2020,Other Grain,Ohio Olmsted,1800
09/26/2020,39,9,2020,Soybeans,Ohio Olmsted,122150
09/26/2020,39,9,2020,Wheat,Ohio Olmsted,0
10/31/2020,44,10,2020,Corn,Ark Lock 1,0
10/31/2020,44,10,2020,Other Grain,Ark Lock 1,1400
10/31/2020,44,10,2020,Soybeans,Ark Lock 1,60200
10/31/2020,44,10,2020,Wheat,Ark Lock 1,8400
10/31/2020,44,10,2020,Corn,Miss Locks 27,222300
10/31/2020,44,10,2020,Other Grain,Miss Locks 27,0
10/31/2020,44,10,2020,Soybeans,Miss Locks 27,391200
10/31/2020,44,10,2020,Wheat,Miss Locks 27,3100
10/31/2020,44,10,2020,Corn,Ohio Olmsted,109556
10/31/2020,44,10,2020,Other Grain,Ohio Olmsted,0
10/31/2020,44,10,2020,Soybeans,Ohio Olmsted,164286
10/31/2020,44,10,2020,Wheat,Ohio Olmsted,0
11/07/2020,45,11,2020,Corn,Ark Lock 1,0
11/07/2020,45,11,2020,Other Grain,Ark Lock 1,0
11/07/2020,45,11,2020,Soybeans,Ark Lock 1,56000
11/07/2020,45,11,2020,Wheat,Ark Lock 1,4200
11/07/2020,45,11,2020,Corn,Miss Locks 27,334800
11/07/2020,45,11,2020,Other Grain,Miss Locks 27,30440
11/07/2020,45,11,2020,Soybeans,Miss Locks 27,254700
11/07/2020,45,11,2020,Wheat,Miss Locks 27,1600
11/07/2020,45,11,2020,Corn,Ohio Olmsted,135284
11/07/2020,45,11,2020,Other Grain,Ohio Olmsted,0
11/07/2020,45,11,2020,Soybeans,Ohio Olmsted,105100
11/07/2020,45,11,2020,Wheat,Ohio Olmsted,3500
11/14/2020,46,11,2020,Corn,Ark Lock 1,0
11/14/2020,46,11,2020,Other Grain,Ark Lock 1,0
11/14/2020,46,11,2020,Soybeans,Ark Lock 1,60200
11/14/2020,46,11,2020,Wheat,Ark Lock 1,7000
11/14/2020,46,11,2020,Corn,Miss Locks 27,437540
11/14/2020,46,11,2020,Other Grain,Miss Locks 27,0
11/14/2020,46,11,2020,Soybeans,Miss Locks 27,297900
11/14/2020,46,11,2020,Wheat,Miss Locks 27,4800
11/14/2020,46,11,2020,Corn,Ohio Olmsted,59553
11/14/2020,46,11,2020,Other Grain,Ohio Olmsted,0
11/14/2020,46,11,2020,Soybeans,Ohio Olmsted,99884
11/14/2020,46,11,2020,Wheat,Ohio Olmsted,5958
11/21/2020,47,11,2020,Corn,Ark Lock 1,1400
11/21/2020,47,11,2020,Other Grain,Ark Lock 1,0
11/21/2020,47,11,2020,Soybeans,Ark Lock 1,58800
11/21/2020,47,11,2020,Wheat,Ark Lock 1,5600
11/21/2020,47,11,2020,Corn,Miss Locks 27,355700
11/21/2020,47,11,2020,Other Grain,Miss Locks 27,0
11/21/2020,47,11,2020,Soybeans,Miss Locks 27,536600
11/21/2020,47,11,2020,Wheat,Miss Locks 27,0
11/21/2020,47,11,2020,Corn,Ohio Olmsted,94958
11/21/2020,47,11,2020,Other Grain,Ohio Olmsted,6288
11/21/2020,47,11,2020,Soybeans,Ohio Olmsted,217962
11/21/2020,47,11,2020,Wheat,Ohio Olmsted,0
10/03/2020,40,9,2020,Corn,Ark Lock 1,0
10/03/2020,40,9,2020,Other Grain,Ark Lock 1,0
10/03/2020,40,9,2020,Soybeans,Ark Lock 1,18200
10/03/2020,40,9,2020,Wheat,Ark Lock 1,37800
10/03/2020,40,9,2020,Corn,Miss Locks 27,181000
10/03/2020,40,9,2020,Other Grain,Miss Locks 27,0
10/03/2020,40,9,2020,Soybeans,Miss Locks 27,326400
10/03/2020,40,9,2020,Wheat,Miss Locks 27,1600
10/03/2020,40,9,2020,Corn,Ohio Olmsted,163700
10/03/2020,40,9,2020,Other Grain,Ohio Olmsted,0
10/03/2020,40,9,2020,Soybeans,Ohio Olmsted,84000
10/03/2020,40,9,2020,Wheat,Ohio Olmsted,0
10/10/2020,41,10,2020,Corn,Ark Lock 1,7000
10/10/2020,41,10,2020,Other Grain,Ark Lock 1,0
10/10/2020,41,10,2020,Soybeans,Ark Lock 1,36400
10/10/2020,41,10,2020,Wheat,Ark Lock 1,21000
10/10/2020,41,10,2020,Corn,Miss Locks 27,169541
10/10/2020,41,10,2020,Other Grain,Miss Locks 27,1600
10/10/2020,41,10,2020,Soybeans,Miss Locks 27,289680
10/10/2020,41,10,2020,Wheat,Miss Locks 27,3200
10/10/2020,41,10,2020,Corn,Ohio Olmsted,117386
10/10/2020,41,10,2020,Other Grain,Ohio Olmsted,1750
10/10/2020,41,10,2020,Soybeans,Ohio Olmsted,106950
10/10/2020,41,10,2020,Wheat,Ohio Olmsted,0
10/17/2020,42,10,2020,Corn,Ark Lock 1,0
10/17/2020,42,10,2020,Other Grain,Ark Lock 1,0
10/17/2020,42,10,2020,Soybeans,Ark Lock 1,28000
10/17/2020,42,10,2020,Wheat,Ark Lock 1,28000
10/17/2020,42,10,2020,Corn,Miss Locks 27,96200
10/17/2020,42,10,2020,Other Grain,Miss Locks 27,6400
10/17/2020,42,10,2020,Soybeans,Miss Locks 27,519800
10/17/2020,42,10,2020,Wheat,Miss Locks 27,3200
10/17/2020,42,10,2020,Corn,Ohio Olmsted,159634
10/17/2020,42,10,2020,Other Grain,Ohio Olmsted,28600
10/17/2020,42,10,2020,Soybeans,Ohio Olmsted,245850
10/17/2020,42,10,2020,Wheat,Ohio Olmsted,0
10/24/2020,43,10,2020,Corn,Ark Lock 1,0
10/24/2020,43,10,2020,Other Grain,Ark Lock 1,0
10/24/2020,43,10,2020,Soybeans,Ark Lock 1,42000
10/24/2020,43,10,2020,Wheat,Ark Lock 1,14000
10/24/2020,43,10,2020,Corn,Miss Locks 27,159000
10/24/2020,43,10,2020,Other Grain,Miss Locks 27,9600
10/24/2020,43,10,2020,Soybeans,Miss Locks 27,710600
10/24/2020,43,10,2020,Wheat,Miss Locks 27,14400
10/24/2020,43,10,2020,Corn,Ohio Olmsted,113577
10/24/2020,43,10,2020,Other Grain,Ohio Olmsted,1700
10/24/2020,43,10,2020,Soybeans,Ohio Olmsted,115600
10/24/2020,43,10,2020,Wheat,Ohio Olmsted,5250
11/28/2020,48,11,2020,Corn,Ark Lock 1,0
11/28/2020,48,11,2020,Other Grain,Ark Lock 1,0
11/28/2020,48,11,2020,Soybeans,Ark Lock 1,35400
11/28/2020,48,11,2020,Wheat,Ark Lock 1,11200
11/28/2020,48,11,2020,Corn,Miss Locks 27,278700
11/28/2020,48,11,2020,Other Grain,Miss Locks 27,0
11/28/2020,48,11,2020,Soybeans,Miss Locks 27,561600
11/28/2020,48,11,2020,Wheat,Miss Locks 27,0
11/28/2020,48,11,2020,Corn,Ohio Olmsted,81250
11/28/2020,48,11,2020,Other Grain,Ohio Olmsted,1800
11/28/2020,48,11,2020,Soybeans,Ohio Olmsted,135631
11/28/2020,48,11,2020,Wheat,Ohio Olmsted,11984
12/26/2020,52,12,2020,Corn,Ark Lock 1,0
12/26/2020,52,12,2020,Other Grain,Ark Lock 1,0
12/26/2020,52,12,2020,Soybeans,Ark Lock 1,27800
12/26/2020,52,12,2020,Wheat,Ark Lock 1,12600
12/26/2020,52,12,2020,Corn,Miss Locks 27,396500
12/26/2020,52,12,2020,Other Grain,Miss Locks 27,0
12/26/2020,52,12,2020,Soybeans,Miss Locks 27,288700
12/26/2020,52,12,2020,Wheat,Miss Locks 27,0
12/26/2020,52,12,2020,Corn,Ohio Olmsted,100477
12/26/2020,52,12,2020,Other Grain,Ohio Olmsted,12600
12/26/2020,52,12,2020,Soybeans,Ohio Olmsted,165830
12/26/2020,52,12,2020,Wheat,Ohio Olmsted,0
01/02/2021,53,12,2020,Corn,Ark Lock 1,0
01/02/2021,53,12,2020,Other Grain,Ark Lock 1,0
01/02/2021,53,12,2020,Soybeans,Ark Lock 1,35000
01/02/2021,53,12,2020,Wheat,Ark Lock 1,8400
01/02/2021,53,12,2020,Corn,Miss Locks 27,236900
01/02/2021,53,12,2020,Other Grain,Miss Locks 27,0
01/02/2021,53,12,2020,Soybeans,Miss Locks 27,148400
01/02/2021,53,12,2020,Wheat,Miss Locks 27,0
01/02/2021,53,12,2020,Corn,Ohio Olmsted,189804
01/02/2021,53,12,2020,Other Grain,Ohio Olmsted,0
01/02/2021,53,12,2020,Soybeans,Ohio Olmsted,214200
01/02/2021,53,12,2020,Wheat,Ohio Olmsted,3600
01/09/2021,1,1,2021,Corn,Ark Lock 1,0
01/09/2021,1,1,2021,Other Grain,Ark Lock 1,0
01/09/2021,1,1,2021,Soybeans,Ark Lock 1,29400
01/09/2021,1,1,2021,Wheat,Ark Lock 1,7000
01/09/2021,1,1,2021,Corn,Miss Locks 27,192500
01/09/2021,1,1,2021,Other Grain,Miss Locks 27,0
01/09/2021,1,1,2021,Soybeans,Miss Locks 27,157900
01/09/2021,1,1,2021,Wheat,Miss Locks 27,4800
01/09/2021,1,1,2021,Corn,Ohio Olmsted,127550
01/09/2021,1,1,2021,Other Grain,Ohio Olmsted,1750
01/09/2021,1,1,2021,Soybeans,Ohio Olmsted,130662
01/09/2021,1,1,2021,Wheat,Ohio Olmsted,1750
01/16/2021,2,1,2021,Corn,Ark Lock 1,0
01/16/2021,2,1,2021,Other Grain,Ark Lock 1,0
01/16/2021,2,1,2021,Soybeans,Ark Lock 1,58800
01/16/2021,2,1,2021,Wheat,Ark Lock 1,12699
01/16/2021,2,1,2021,Corn,Miss Locks 27,253700
01/16/2021,2,1,2021,Other Grain,Miss Locks 27,0
01/16/2021,2,1,2021,Soybeans,Miss Locks 27,235900
01/16/2021,2,1,2021,Wheat,Miss Locks 27,1500
01/16/2021,2,1,2021,Corn,Ohio Olmsted,174977
01/16/2021,2,1,2021,Other Grain,Ohio Olmsted,44750
01/16/2021,2,1,2021,Soybeans,Ohio Olmsted,130755
01/16/2021,2,1,2021,Wheat,Ohio Olmsted,1750
01/04/2003,1,1,2003,Corn,Miss Locks 27,366644
01/04/2003,1,1,2003,Corn,Ohio Olmsted,24721
01/04/2003,1,1,2003,Corn,Ark Lock 1,0
01/04/2003,1,1,2003,Wheat,Miss Locks 27,7535
01/04/2003,1,1,2003,Wheat,Ohio Olmsted,4500
01/04/2003,1,1,2003,Wheat,Ark Lock 1,8500
01/04/2003,1,1,2003,Soybeans,Miss Locks 27,121265
01/04/2003,1,1,2003,Soybeans,Ohio Olmsted,46454
01/04/2003,1,1,2003,Soybeans,Ark Lock 1,11500
01/04/2003,1,1,2003,Other Grain,Miss Locks 27,16520
01/04/2003,1,1,2003,Other Grain,Ohio Olmsted,11993
01/04/2003,1,1,2003,Other Grain,Ark Lock 1,0
01/11/2003,2,1,2003,Corn,Miss Locks 27,446444
01/11/2003,2,1,2003,Corn,Ohio Olmsted,41350
01/11/2003,2,1,2003,Corn,Ark Lock 1,0
01/11/2003,2,1,2003,Wheat,Miss Locks 27,25633
01/11/2003,2,1,2003,Wheat,Ohio Olmsted,1842
01/11/2003,2,1,2003,Wheat,Ark Lock 1,14600
01/11/2003,2,1,2003,Soybeans,Miss Locks 27,163965
01/11/2003,2,1,2003,Soybeans,Ohio Olmsted,43229
01/11/2003,2,1,2003,Soybeans,Ark Lock 1,21600
01/11/2003,2,1,2003,Other Grain,Miss Locks 27,11200
01/11/2003,2,1,2003,Other Grain,Ohio Olmsted,47580
01/11/2003,2,1,2003,Other Grain,Ark Lock 1,0
01/18/2003,3,1,2003,Corn,Miss Locks 27,432764
01/18/2003,3,1,2003,Corn,Ohio Olmsted,149294
01/18/2003,3,1,2003,Corn,Ark Lock 1,0
01/18/2003,3,1,2003,Wheat,Miss Locks 27,1405
01/18/2003,3,1,2003,Wheat,Ohio Olmsted,4680
01/18/2003,3,1,2003,Wheat,Ark Lock 1,19600
01/18/2003,3,1,2003,Soybeans,Miss Locks 27,251138
01/18/2003,3,1,2003,Soybeans,Ohio Olmsted,138720
01/18/2003,3,1,2003,Soybeans,Ark Lock 1,19000
01/18/2003,3,1,2003,Other Grain,Miss Locks 27,0
01/18/2003,3,1,2003,Other Grain,Ohio Olmsted,18035
01/18/2003,3,1,2003,Other Grain,Ark Lock 1,0
01/25/2003,4,1,2003,Corn,Miss Locks 27,345846
01/25/2003,4,1,2003,Corn,Ohio Olmsted,190786
01/25/2003,4,1,2003,Corn,Ark Lock 1,0
01/25/2003,4,1,2003,Wheat,Miss Locks 27,10925
01/25/2003,4,1,2003,Wheat,Ohio Olmsted,4600
01/25/2003,4,1,2003,Wheat,Ark Lock 1,23900
01/25/2003,4,1,2003,Soybeans,Miss Locks 27,94152
01/25/2003,4,1,2003,Soybeans,Ohio Olmsted,176655
01/25/2003,4,1,2003,Soybeans,Ark Lock 1,21000
01/25/2003,4,1,2003,Other Grain,Miss Locks 27,3008
01/25/2003,4,1,2003,Other Grain,Ohio Olmsted,15052
01/25/2003,4,1,2003,Other Grain,Ark Lock 1,0
02/01/2003,5,1,2003,Corn,Miss Locks 27,231488
02/01/2003,5,1,2003,Corn,Ohio Olmsted,97782
02/01/2003,5,1,2003,Corn,Ark Lock 1,0
02/01/2003,5,1,2003,Wheat,Miss Locks 27,1500
02/01/2003,5,1,2003,Wheat,Ohio Olmsted,0
02/01/2003,5,1,2003,Wheat,Ark Lock 1,19700
02/01/2003,5,1,2003,Soybeans,Miss Locks 27,158945
02/01/2003,5,1,2003,Soybeans,Ohio Olmsted,81821
02/01/2003,5,1,2003,Soybeans,Ark Lock 1,22980
02/01/2003,5,1,2003,Other Grain,Miss Locks 27,0
02/01/2003,5,1,2003,Other Grain,Ohio Olmsted,14573
02/01/2003,5,1,2003,Other Grain,Ark Lock 1,0
02/08/2003,6,2,2003,Corn,Miss Locks 27,263380
02/08/2003,6,2,2003,Corn,Ohio Olmsted,51257
02/08/2003,6,2,2003,Corn,Ark Lock 1,0
02/08/2003,6,2,2003,Wheat,Miss Locks 27,4570
02/08/2003,6,2,2003,Wheat,Ohio Olmsted,13535
02/08/2003,6,2,2003,Wheat,Ark Lock 1,28600
02/08/2003,6,2,2003,Soybeans,Miss Locks 27,120593
02/08/2003,6,2,2003,Soybeans,Ohio Olmsted,137384
02/08/2003,6,2,2003,Soybeans,Ark Lock 1,10200
02/08/2003,6,2,2003,Other Grain,Miss Locks 27,11120
02/08/2003,6,2,2003,Other Grain,Ohio Olmsted,22400
02/08/2003,6,2,2003,Other Grain,Ark Lock 1,0
02/15/2003,7,2,2003,Corn,Miss Locks 27,304179
02/15/2003,7,2,2003,Corn,Ohio Olmsted,57800
02/15/2003,7,2,2003,Corn,Ark Lock 1,0
02/15/2003,7,2,2003,Wheat,Miss Locks 27,10700
02/15/2003,7,2,2003,Wheat,Ohio Olmsted,7300
02/15/2003,7,2,2003,Wheat,Ark Lock 1,28100
02/15/2003,7,2,2003,Soybeans,Miss Locks 27,116066
02/15/2003,7,2,2003,Soybeans,Ohio Olmsted,62700
02/15/2003,7,2,2003,Soybeans,Ark Lock 1,20600
02/15/2003,7,2,2003,Other Grain,Miss Locks 27,0
02/15/2003,7,2,2003,Other Grain,Ohio Olmsted,40949
02/15/2003,7,2,2003,Other Grain,Ark Lock 1,0
02/22/2003,8,2,2003,Corn,Miss Locks 27,322520
02/22/2003,8,2,2003,Corn,Ohio Olmsted,23835
02/22/2003,8,2,2003,Corn,Ark Lock 1,0
02/22/2003,8,2,2003,Wheat,Miss Locks 27,3200
02/22/2003,8,2,2003,Wheat,Ohio Olmsted,1500
02/22/2003,8,2,2003,Wheat,Ark Lock 1,36900
02/22/2003,8,2,2003,Soybeans,Miss Locks 27,115481
02/22/2003,8,2,2003,Soybeans,Ohio Olmsted,41216
02/22/2003,8,2,2003,Soybeans,Ark Lock 1,21600
02/22/2003,8,2,2003,Other Grain,Miss Locks 27,0
02/22/2003,8,2,2003,Other Grain,Ohio Olmsted,20949
02/22/2003,8,2,2003,Other Grain,Ark Lock 1,0
03/01/2003,9,2,2003,Corn,Miss Locks 27,363486
03/01/2003,9,2,2003,Corn,Ohio Olmsted,51900
03/01/2003,9,2,2003,Corn,Ark Lock 1,0
03/01/2003,9,2,2003,Wheat,Miss Locks 27,15307
03/01/2003,9,2,2003,Wheat,Ohio Olmsted,4500
03/01/2003,9,2,2003,Wheat,Ark Lock 1,19600
03/01/2003,9,2,2003,Soybeans,Miss Locks 27,87463
03/01/2003,9,2,2003,Soybeans,Ohio Olmsted,35195
03/01/2003,9,2,2003,Soybeans,Ark Lock 1,11200
03/01/2003,9,2,2003,Other Grain,Miss Locks 27,7850
03/01/2003,9,2,2003,Other Grain,Ohio Olmsted,17978
03/01/2003,9,2,2003,Other Grain,Ark Lock 1,0
03/08/2003,10,3,2003,Corn,Miss Locks 27,507339
03/08/2003,10,3,2003,Corn,Ohio Olmsted,27336
03/08/2003,10,3,2003,Corn,Ark Lock 1,0
03/08/2003,10,3,2003,Wheat,Miss Locks 27,16172
03/08/2003,10,3,2003,Wheat,Ohio Olmsted,7400
03/08/2003,10,3,2003,Wheat,Ark Lock 1,24000
03/08/2003,10,3,2003,Soybeans,Miss Locks 27,132052
03/08/2003,10,3,2003,Soybeans,Ohio Olmsted,47724
03/08/2003,10,3,2003,Soybeans,Ark Lock 1,8400
03/08/2003,10,3,2003,Other Grain,Miss Locks 27,0
03/08/2003,10,3,2003,Other Grain,Ohio Olmsted,12385
03/08/2003,10,3,2003,Other Grain,Ark Lock 1,0
03/15/2003,11,3,2003,Corn,Miss Locks 27,413681
